experiment,method,trial,seed,n,epsilon_ac,target_index,eta,eta_v,n_inner,momentum,converged,iterations,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
allen_cahn_1d,HiSD,0,42,64,0.1,3,0.02,0.05,5,,False,3000,0.0022915252856259482,3,True,False,-0.0155894402929353,2.5444106636663952
allen_cahn_1d,HiSD,1,1042,64,0.1,3,0.02,0.05,5,,False,3000,0.0037000053428193477,3,True,False,-0.015549013114786093,2.5444512490561535
allen_cahn_1d,HiSD,2,2042,64,0.1,3,0.02,0.05,5,,False,3000,0.0015490941923943522,3,True,False,-0.015611931326390863,2.5443881199598763
allen_cahn_1d,HiSD,3,3042,64,0.1,3,0.02,0.05,5,,False,3000,0.0013597892266706468,3,True,False,-0.015614590871210803,2.5443854215648805
allen_cahn_1d,HiSD,4,4042,64,0.1,3,0.02,0.05,5,,False,3000,0.002443335949329032,3,True,False,-0.015582115803168841,2.544418030410229
allen_cahn_1d,HiSD,5,5042,64,0.1,3,0.02,0.05,5,,False,3000,0.0019802905617251703,3,True,False,-0.015602448541723875,2.5443977303177094
allen_cahn_1d,HiSD,6,6042,64,0.1,3,0.02,0.05,5,,False,3000,0.0014469888445277192,3,True,False,-0.015609594976457431,2.5443904847382433
allen_cahn_1d,HiSD,7,7042,64,0.1,3,0.02,0.05,5,,False,3000,0.0025767995171137657,3,True,False,-0.015596271396688628,2.5444038059957785
allen_cahn_1d,A-HiSD,0,42,64,0.1,3,0.1,0.05,5,0.9,True,1789,9.999747715802364e-07,3,True,True,-0.015624999990962264,2.5443750000090377
allen_cahn_1d,A-HiSD,1,1042,64,0.1,3,0.1,0.05,5,0.9,False,3000,5.005422077222044,0,False,False,0.22421751191490047,3.127336226792001
allen_cahn_1d,A-HiSD,2,2042,64,0.1,3,0.1,0.05,5,0.9,True,1569,9.92624183667314e-07,3,True,True,-0.015624999991429779,2.54437500000857
allen_cahn_1d,A-HiSD,3,3042,64,0.1,3,0.1,0.05,5,0.9,True,1265,9.916384139241477e-07,3,True,True,-0.015624999991913635,2.544375000008088
allen_cahn_1d,A-HiSD,4,4042,64,0.1,3,0.1,0.05,5,0.9,True,1212,9.99582970336561e-07,3,True,True,-0.015624999991178274,2.5443750000088223
allen_cahn_1d,A-HiSD,5,5042,64,0.1,3,0.1,0.05,5,0.9,True,1663,9.987304500886697e-07,3,True,True,-0.015624999990971328,2.5443750000090284
allen_cahn_1d,A-HiSD,6,6042,64,0.1,3,0.1,0.05,5,0.9,False,3000,82594.33417325882,0,False,False,9.718178997963113,1146.1531942115564
allen_cahn_1d,A-HiSD,7,7042,64,0.1,3,0.1,0.05,5,0.9,False,3000,47668.62065333056,0,False,False,1.7553429309384798,801.8195637611158
allen_cahn_1d,ADAM-FC,0,42,64,0.1,3,0.01,0.05,5,,True,1752,9.96569223446764e-07,3,True,True,-0.015624999994908783,2.54437500000509
allen_cahn_1d,ADAM-FC,1,1042,64,0.1,3,0.01,0.05,5,,True,1623,9.98679886435828e-07,3,True,True,-0.015624999994194172,2.544375000005807
allen_cahn_1d,ADAM-FC,2,2042,64,0.1,3,0.01,0.05,5,,True,1690,9.945665591851291e-07,3,True,True,-0.015624999994574128,2.5443750000054264
allen_cahn_1d,ADAM-FC,3,3042,64,0.1,3,0.01,0.05,5,,True,1378,9.976147750817483e-07,3,True,True,-0.015624999993314995,2.5443750000066854
allen_cahn_1d,ADAM-FC,4,4042,64,0.1,3,0.01,0.05,5,,True,1559,9.984544480719304e-07,3,True,True,-0.015624999993792252,2.544375000006209
allen_cahn_1d,ADAM-FC,5,5042,64,0.1,3,0.01,0.05,5,,True,1575,9.978136014994544e-07,3,True,True,-0.015624999994054319,2.544375000005946
allen_cahn_1d,ADAM-FC,6,6042,64,0.1,3,0.01,0.05,5,,True,1460,9.9184903485888e-07,3,True,True,-0.015624999993589545,2.5443750000064105
allen_cahn_1d,ADAM-FC,7,7042,64,0.1,3,0.01,0.05,5,,False,3000,0.00830202914955924,3,True,False,-0.015229726848614206,2.544802361253412
allen_cahn_1d,ADAM-H,0,42,64,0.1,3,0.01,0.05,5,,True,1750,9.976742071815153e-07,3,True,True,-0.015624999994730368,2.544375000005271
allen_cahn_1d,ADAM-H,1,1042,64,0.1,3,0.01,0.05,5,,True,1688,9.96111372124522e-07,3,True,True,-0.015624999994108293,2.5443750000058927
allen_cahn_1d,ADAM-H,2,2042,64,0.1,3,0.01,0.05,5,,True,1706,9.97988460507062e-07,3,True,True,-0.015624999994284633,2.544375000005717
allen_cahn_1d,ADAM-H,3,3042,64,0.1,3,0.01,0.05,5,,True,1706,9.90457816174927e-07,3,True,True,-0.015624999993335581,2.544375000006666
allen_cahn_1d,ADAM-H,4,4042,64,0.1,3,0.01,0.05,5,,True,1692,9.915842036535314e-07,3,True,True,-0.015624999993748034,2.5443750000062515
allen_cahn_1d,ADAM-H,5,5042,64,0.1,3,0.01,0.05,5,,True,1534,9.902976300922128e-07,3,True,True,-0.01562499999375321,2.544375000006247
allen_cahn_1d,ADAM-H,6,6042,64,0.1,3,0.01,0.05,5,,True,1542,9.953170585319795e-07,3,True,True,-0.015624999993008377,2.5443750000069905
allen_cahn_1d,ADAM-H,7,7042,64,0.1,3,0.01,0.05,5,,False,3000,0.009156771696741055,3,True,False,-0.01494245501825547,2.545067065006632
